created_at,entry_id,field1,field2,field3
2018-10-28 07:04:00 UTC,31,0.13,6.75,15963.56
2018-10-28 07:05:00 UTC,32,0.11,8.71,16738.16
2018-10-28 07:06:01 UTC,33,0.11,9.29,18391.24
2018-10-28 07:07:02 UTC,34,0.10,11.39,35289.04
2018-10-28 07:08:02 UTC,35,0.10,10.48,41038.64
2018-10-28 07:09:03 UTC,36,0.10,9.59,32411.02
2018-10-28 07:10:03 UTC,37,0.12,9.59,11318.99
2018-10-28 07:11:04 UTC,38,0.12,11.08,17260.48
2018-10-28 07:12:05 UTC,39,0.11,12.00,28784.01
2018-10-28 07:13:06 UTC,40,0.12,11.39,43071.70
2018-10-28 07:14:07 UTC,41,0.11,14.86,32332.49
2018-10-28 07:15:08 UTC,42,0.11,14.21,30990.84
2018-10-28 07:16:09 UTC,43,0.11,14.21,66077.17
2018-10-28 07:17:12 UTC,44,0.10,16.17,40690.96
2018-10-28 07:18:13 UTC,45,0.11,12.62,21646.08
2018-10-28 07:19:14 UTC,46,0.10,15.19,16080.54
2018-10-28 07:20:15 UTC,47,0.10,15.19,22172.03
2018-10-28 07:21:16 UTC,48,0.10,14.86,13996.29
2018-10-28 07:22:17 UTC,49,0.10,12.62,13716.54
2018-10-28 07:23:18 UTC,50,0.10,13.57,15548.82
2018-10-28 07:24:19 UTC,51,0.10,12.94,15681.01
2018-10-28 07:25:19 UTC,52,0.09,15.51,20343.14
2018-10-28 07:26:20 UTC,53,0.10,11.69,11711.66
2018-10-28 07:27:21 UTC,54,0.12,9.29,5032.23
2018-10-28 07:28:21 UTC,55,0.14,6.75,6562.88
2018-10-28 07:29:22 UTC,56,0.16,6.48,6911.76
2018-10-28 07:30:23 UTC,57,0.16,5.94,14285.88
2018-10-28 07:31:23 UTC,58,0.17,5.67,8302.95
2018-10-28 07:32:24 UTC,59,0.18,5.15,7611.80
2018-10-28 07:33:25 UTC,60,0.19,4.89,10275.21
2018-10-28 07:34:26 UTC,61,0.20,4.64,13043.33
2018-10-28 07:35:27 UTC,62,0.21,4.39,9329.63
2018-10-28 07:36:27 UTC,63,0.23,4.14,7721.95
2018-10-28 07:37:29 UTC,64,0.23,4.39,10639.18
2018-10-28 07:38:29 UTC,65,0.25,3.89,6876.13
2018-10-28 07:39:29 UTC,66,0.25,3.89,6594.34
2018-10-28 07:40:30 UTC,67,0.25,3.89,11094.52
2018-10-28 07:41:31 UTC,68,0.27,3.89,7366.18
2018-10-28 07:42:32 UTC,69,0.28,3.64,8834.96
2018-10-28 07:43:33 UTC,70,0.27,3.89,7151.59
2018-10-28 07:44:33 UTC,71,0.28,3.89,9236.43
2018-10-28 07:45:34 UTC,72,0.28,3.89,8246.99
2018-10-28 07:46:35 UTC,73,0.28,3.64,9675.19
2018-10-28 07:47:36 UTC,74,0.29,3.89,5949.00
2018-10-28 07:48:36 UTC,75,0.30,3.40,7076.07
2018-10-28 07:49:37 UTC,76,0.30,3.64,8193.47
2018-10-28 07:50:38 UTC,77,0.28,3.89,12101.34
2018-10-28 07:51:39 UTC,78,0.28,3.89,7056.85
2018-10-28 07:52:40 UTC,79,0.27,3.89,5289.13
2018-10-28 07:53:40 UTC,80,0.29,3.40,6304.13
2018-10-28 07:54:41 UTC,81,0.29,3.40,6530.48
2018-10-28 07:55:41 UTC,82,0.26,4.14,10416.36
2018-10-28 07:56:42 UTC,83,0.26,4.14,6931.99
2018-10-28 07:57:42 UTC,84,0.26,3.89,6961.66
2018-10-28 07:58:43 UTC,85,0.25,4.14,8899.29
2018-10-28 07:59:44 UTC,86,0.27,3.40,8640.13
2018-10-28 08:00:45 UTC,87,0.24,4.14,8064.11
2018-10-28 08:01:45 UTC,88,0.24,4.14,6507.88
2018-10-28 08:02:46 UTC,89,0.24,4.14,6058.20
2018-10-28 08:03:47 UTC,90,0.24,4.14,6253.80
2018-10-28 08:04:47 UTC,91,0.24,4.14,6594.94
2018-10-28 08:05:48 UTC,92,0.24,4.14,6677.31
2018-10-28 08:06:49 UTC,93,0.24,3.89,6119.93
2018-10-28 08:07:50 UTC,94,0.24,4.14,6468.26
2018-10-28 08:08:51 UTC,95,0.24,4.14,6725.61
2018-10-28 08:09:51 UTC,96,0.24,4.14,5947.71
2018-10-28 08:10:52 UTC,97,0.23,4.14,7501.75
2018-10-28 08:11:52 UTC,98,0.23,4.14,7074.38
2018-10-28 08:12:53 UTC,99,0.23,4.14,8285.83
2018-10-28 08:13:54 UTC,100,0.23,4.14,5859.59
2018-10-28 08:14:55 UTC,101,0.26,3.40,7474.05
2018-10-28 08:15:55 UTC,102,0.23,4.14,5798.23
2018-10-28 08:16:55 UTC,103,0.23,4.14,6568.15
2018-10-28 08:17:56 UTC,104,0.23,4.14,5730.32
2018-10-28 08:18:57 UTC,105,0.26,3.40,7195.18
2018-10-28 08:19:58 UTC,106,0.24,4.14,8845.15
2018-10-28 08:20:58 UTC,107,0.25,3.89,5650.88
2018-10-28 08:21:59 UTC,108,0.23,4.39,7334.08
2018-10-28 08:23:00 UTC,109,0.23,4.39,16769.63
2018-10-28 08:24:01 UTC,110,0.26,3.64,50978.51
2018-10-28 08:25:03 UTC,111,0.24,4.39,45482.91
2018-10-28 08:26:04 UTC,112,0.24,4.39,51520.84
2018-10-28 08:27:05 UTC,113,0.24,4.14,40512.64
2018-10-28 08:28:05 UTC,114,0.23,4.39,21673.12
